image_cue_1,image_cue_2,image_cue_3,image_target_1,image_target_2,image_target_3,targetStart,startTime,endTime,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,textWelcome.started,textWelcome.stopped,keyWelcome.keys,keyWelcome.rt,keyWelcome.started,keyWelcome.stopped,textStart.started,textStart.stopped,keyStart.keys,keyStart.rt,keyStart.started,keyStart.stopped,imageTrailBefore_1.started,imageTrailBefore_1.stopped,imageTrialBefore_2.started,imageTrialBefore_2.stopped,imageTrialBefore_3.started,imageTrialBefore_3.stopped,imageTrialCue_1.started,imageTrialCue_1.stopped,imageTrialCue_2.started,imageTrialCue_2.stopped,imageTrialCue_3.started,imageTrialCue_3.stopped,TrialSceenTargetStart,TrialSceenTargetEnd,imageTrialTarget_1.started,imageTrialTarget_1.stopped,imageTrialTarget_2.started,imageTrialTarget_2.stopped,imageTrialTarget_3.started,imageTrialTarget_3.stopped,keyResponse.keys,keyResponse.rt,keyResponse.started,keyResponse.stopped,textBlank500.started,textBlank500.stopped,textEndSceen.started,textEndSceen.stopped,participant,session,date,expName,psychopyVersion,frameRate,
images/light_grey_box_with_cue,images/light_grey_box,images/light_grey_box,images/light_grey_box_with_target,images/light_grey_box,images/light_grey_box,0,0.05,0.2,0,28,28,26,,,,,,,,,,,,,71.73993079992943,None,71.73993079992943,None,71.73993079992943,None,72.73995540000033,None,72.73995540000033,None,72.73995540000033,None,0.3,0.44999999999999996,72.90668050001841,None,72.90668050001841,None,72.90668050001841,None,space,0.10087810002733022,72.90668050001841,None,73.02336049999576,None,,,akash,001,2020_Apr_18_2103,experiment,2020.1.3,59.98749862183085,
images/light_grey_box_with_cue,images/light_grey_box,images/light_grey_box,images/light_grey_box_with_target,images/light_grey_box,images/light_grey_box,0,0.0,0.15,0,29,29,6,,,,,,,,,,,,,73.52338319993578,None,73.52338319993578,None,73.52338319993578,None,74.52342809992842,None,74.52342809992842,None,74.52342809992842,None,0.05,0.2,74.67344479996245,None,74.67344479996245,None,74.67344479996245,None,space,0.11698960000649095,74.67344479996245,None,74.80684340000153,None,,,akash,001,2020_Apr_18_2103,experiment,2020.1.3,59.98749862183085,
images/light_grey_box_with_cue,images/light_grey_box,images/light_grey_box,images/light_grey_box,images/light_grey_box_with_target,images/light_grey_box,0,0.1,0.25,0,30,30,41,,,,,,,,,,,,,75.3068608000176,None,75.3068608000176,None,75.3068608000176,None,76.30697499995586,None,76.30697499995586,None,76.30697499995586,None,0.3,0.44999999999999996,76.45694369997364,None,76.45694369997364,None,76.45694369997364,None,space,0.050309799960814416,76.45694369997364,None,76.52361889998429,None,,,akash,001,2020_Apr_18_2103,experiment,2020.1.3,59.98749862183085,
images/light_grey_box,images/light_grey_box,images/light_grey_box_with_cue,images/light_grey_box,images/light_grey_box_with_target,images/light_grey_box,0,0.2,0.35,0,31,31,72,,,,,,,,,,,,,77.02366139995866,None,77.02366139995866,None,77.02366139995866,None,78.02380109997466,None,78.02380109997466,None,78.02380109997466,None,0.3,0.44999999999999996,78.20707399991807,None,78.20707399991807,None,78.20707399991807,None,space,0.033949899952858686,78.20707399991807,None,78.2570758999791,None,,,akash,001,2020_Apr_18_2103,experiment,2020.1.3,59.98749862183085,
images/light_grey_box,images/light_grey_box,images/light_grey_box_with_cue,images/light_grey_box,images/light_grey_box,images/light_grey_box_with_target,0,0.0,0.15,0,32,32,17,,,,,,,,,,,,,78.7571411000099,None,78.7571411000099,None,78.7571411000099,None,79.75715620000847,None,79.75715620000847,None,79.75715620000847,None,0.0,0.15,79.9738760999171,80.04055959999096,79.9738760999171,80.04055959999096,79.9738760999171,80.04055959999096,space,0.950446099974215,79.9738760999171,None,80.9406055000145,None,,,akash,001,2020_Apr_18_2103,experiment,2020.1.3,59.98749862183085,
images/light_grey_box_with_cue,images/light_grey_box,images/light_grey_box,images/light_grey_box,images/light_grey_box_with_target,images/light_grey_box,0,0.0,0.15,0,33,33,4,,,,,,,,,,,,,81.44065449992195,None,81.44065449992195,None,81.44065449992195,None,82.44074300001375,None,82.44074300001375,None,82.44074300001375,None,0.0,0.15,82.67411359993275,None,82.67411359993275,None,82.67411359993275,None,space,0.03387719998136163,82.67411359993275,None,82.72410489991307,None,,,akash,001,2020_Apr_18_2103,experiment,2020.1.3,59.98749862183085,
images/light_grey_box_with_cue,images/light_grey_box,images/light_grey_box,images/light_grey_box,images/light_grey_box_with_target,images/light_grey_box,0,0.2,0.35,0,34,34,62,,,,,,,,,,,,,83.22410440002568,None,83.22410440002568,None,83.22410440002568,None,84.22424519993365,None,84.22424519993365,None,84.22424519993365,None,0.0,0.15,84.37421149993315,None,84.37421149993315,None,84.37421149993315,None,space,0.11701420007739216,84.37421149993315,None,84.50754439993761,None,,,akash,001,2020_Apr_18_2103,experiment,2020.1.3,59.98749862183085,
images/light_grey_box,images/light_grey_box,images/light_grey_box_with_cue,images/light_grey_box,images/light_grey_box,images/light_grey_box,0,0.3,0.45,0,35,35,99,,,,,,,,,,,,,85.00759209995158,None,85.00759209995158,None,85.00759209995158,None,86.00767479999922,None,86.00767479999922,None,86.00767479999922,None,0.0,0.15,86.17434689996298,None,86.17434689996298,None,86.17434689996298,None,space,0.05026550008915365,86.17434689996298,None,86.24101709993556,None,,,akash,001,2020_Apr_18_2103,experiment,2020.1.3,59.98749862183085,
images/light_grey_box,images/light_grey_box,images/light_grey_box_with_cue,images/light_grey_box,images/light_grey_box,images/light_grey_box,0,0.1,0.25,0,36,36,59,,,,,,,,,,,,,86.74112030002289,None,86.74112030002289,None,86.74112030002289,None,87.74113169999328,None,87.74113169999328,None,87.74113169999328,None,0.2,0.35,87.92448950000107,88.05783059995156,87.92448950000107,88.05783059995156,87.92448950000107,88.05783059995156,space,0.18364329996984452,87.92448950000107,None,88.1245039999485,None,,,akash,001,2020_Apr_18_2103,experiment,2020.1.3,59.98749862183085,
images/light_grey_box,images/light_grey_box,images/light_grey_box_with_cue,images/light_grey_box,images/light_grey_box_with_target,images/light_grey_box,0,0.0,0.15,0,37,37,10,,,,,,,,,,,,,88.62452199996915,None,88.62452199996915,None,88.62452199996915,None,89.62460089998785,None,89.62460089998785,None,89.62460089998785,None,0.1,0.25,89.87463109998498,None,89.87463109998498,None,89.87463109998498,None,space,0.10031390003859997,89.87463109998498,None,89.991310399957,None,,,akash,001,2020_Apr_18_2103,experiment,2020.1.3,59.98749862183085,
